age,arab,children_0_4,lwage_2011,marital,schooling,status,yeshiva
46,0,0,4.755376,1,14,1,0
73,0,0,,1,13,4,0
42,0,1,4.733439,1,13,1,0
15,0,0,,4,10,4,0
60,0,0,4.459971,1,18,1,0
21,0,0,,4,12,4,0
21,0,0,3.191246,4,12,1,0
62,0,0,4.902139,1,16,1,0
31,0,0,,4,19,4,0
53,0,0,3.3115,1,13,1,0
32,0,2,4.355504,1,15,1,0
29,0,0,3.134303,4,12,1,0
56,0,0,2.474519,1,12,1,0
36,0,0,3.44322,4,12,1,0
52,0,0,2.98878,1,14,1,0
50,0,0,3.493052,1,15,1,0
36,0,0,5.230176,1,14,1,0
21,0,0,,4,12,4,0
58,0,0,5.304924,1,18,1,0
21,0,0,,4,12,4,0
41,0,2,3.245486,1,14,1,0
17,0,0,,4,11,4,0
50,0,0,4.055271,1,10,1,0
48,0,0,3.837157,1,12,1,0
58,0,0,,1,14,4,0
62,0,0,3.645215,1,18,1,0
26,0,0,3.314396,4,12,1,0
28,0,0,,4,10,4,0
58,0,0,,3,12,4,0
48,0,0,,1,12,4,0
68,0,0,3.333086,1,20,1,0
81,0,0,,3,14,4,0
42,0,0,3.088678,2,13,1,0
27,0,0,3.009635,4,13,1,0
81,0,0,,2,10,4,0
58,0,0,2.943762,2,11,1,0
72,0,0,,1,19,4,0
25,0,0,,4,16,4,0
75,0,0,,1,16,4,0
21,0,0,4.50462,4,17,1,0
53,0,0,4.517769,1,12,1,0
33,0,0,3.943575,1,19,1,0
52,0,0,4.138395,1,10,1,0
59,0,0,3.185567,1,15,1,0
38,0,1,3.608303,1,18,1,0
33,0,1,4.009745,1,17,1,0
65,0,1,3.367535,1,0,1,0
27,0,0,3.57689,4,13,1,0
73,0,0,,1,11,4,0
65,0,0,3.602236,1,12,1,0
40,0,0,,1,34,4,0
36,0,3,,1,29,4,0
34,0,2,2.896559,1,14,1,0
21,0,0,,4,12,4,0
77,0,0,,1,14,4,0
51,0,0,2.838498,5,12,1,0
41,0,1,,1,36,4,1
25,0,2,,1,20,4,0
34,0,4,,1,29,4,0
30,0,0,4.90361,2,17,1,0
63,0,0,,1,12,4,1
88,0,0,,3,18,4,0
21,0,0,3.461837,4,12,1,0
46,0,0,3.665662,1,12,1,0
21,0,1,,1,12,4,0
71,0,0,,1,16,4,0
44,0,0,,1,12,4,0
53,0,0,,1,12,4,0
25,0,0,3.256674,4,12,1,0
72,0,0,,1,15,4,0
72,0,0,3.613765,1,10,1,0
85,0,0,,3,5,4,0
58,0,0,,2,16,4,0
34,0,2,,1,14,4,0
21,0,0,3.544433,4,13,1,0
35,0,0,3.02805,4,12,1,0
26,0,0,3.019241,4,12,1,0
17,0,1,,4,12,4,0
42,0,1,3.94552,1,13,1,0
82,0,0,,1,12,4,0
21,0,0,3.257089,4,9,1,0
41,0,0,4.270124,1,12,1,0
33,0,2,3.8325,1,12,1,0
53,0,0,,4,15,4,0
52,0,0,,2,8,4,0
66,0,0,,1,10,4,0
36,0,0,3.063531,2,12,1,0
64,0,0,3.323929,1,12,1,0
59,0,0,,1,20,4,0
72,0,0,,3,0,4,0
51,0,0,,2,12,4,0
44,0,1,,1,10,4,0
86,0,0,,1,10,4,0
58,0,0,4.868186,1,12,1,0
21,0,0,,4,12,4,0
31,0,2,3.566922,1,16,1,0
21,0,0,3.257089,4,12,1,0
21,0,0,,4,12,4,0
47,0,0,3.562646,1,11,1,0
46,0,0,3.342714,1,10,1,0
21,0,0,4.113659,4,14,1,0
55,0,0,2.816293,1,8,1,0
21,0,0,3.709101,4,12,1,0
27,0,1,3.160929,4,12,1,0
21,0,1,3.754603,1,14,1,1
29,0,0,3.549226,4,14,1,0
33,0,0,3.420512,1,13,1,0
41,0,1,3.248995,1,13,1,0
72,0,1,,3,9,4,0
15,0,1,,4,10,4,0
41,0,1,3.494164,1,12,1,0
43,0,0,5.03449,1,16,1,0
64,0,0,3.399767,1,13,1,0
39,0,0,3.854316,2,15,1,0
82,0,0,,1,13,4,0
46,0,0,3.51975,4,12,1,0
64,0,0,,1,6,4,0
17,0,0,,4,11,4,0
67,0,0,4.277384,1,19,1,0
27,0,0,,4,16,4,0
60,0,0,4.764167,1,26,1,0
45,0,0,,1,0,4,0
71,0,0,,1,16,4,0
54,0,0,4.520633,1,21,1,0
61,0,0,4.636146,1,20,1,0
17,0,0,,4,12,4,0
47,0,0,5.558659,1,22,1,0
21,0,0,,4,12,4,0
51,0,0,4.994024,1,14,1,0
45,0,0,4.884934,1,18,1,0
45,0,0,3.429158,1,7,1,0
21,0,0,3.366296,4,11,1,0
49,0,0,,1,9,4,0
35,0,0,3.503767,1,12,1,0
32,0,0,3.290319,1,12,1,0
53,0,0,,1,20,4,0
84,0,0,,2,9,4,0
63,0,0,3.114285,2,8,1,0
92,0,0,,1,14,4,0
69,0,0,3.33362,1,14,1,0
48,0,0,3.660676,1,18,1,0
21,0,0,3.038431,4,13,1,0
59,0,0,4.78786,1,11,1,0
58,0,0,5.123695,1,16,1,0
44,0,0,5.583533,1,19,1,0
21,0,0,,4,12,4,0
60,0,0,3.541668,1,12,1,0
67,0,0,,1,8,4,0
30,0,0,4.29283,1,16,1,0
63,0,0,4.137068,1,15,1,0
47,0,0,3.457875,4,17,1,0
41,0,0,3.800112,2,15,1,0
17,0,0,2.190487,4,11,1,0
37,0,0,3.60573,1,14,1,0
34,0,2,3.494125,1,12,1,0
38,0,1,4.074912,1,15,1,0
46,0,1,4.319549,1,15,1,0
37,0,0,3.801466,1,12,1,0
40,0,1,3.845049,1,12,1,0
37,0,1,4.603089,1,15,1,0
33,0,2,,1,9,4,0
40,0,0,3.559299,1,16,1,0
21,0,0,3.091382,4,11,1,0
64,0,0,,1,12,4,1
31,0,0,,4,12,4,0
68,0,0,,3,11,4,0
25,0,0,,1,12,4,0
60,0,0,3.273995,1,12,1,0
21,0,0,,4,12,4,0
21,0,0,,4,12,4,0
72,0,0,,1,23,4,0
49,0,0,4.467208,4,15,1,0
21,0,0,,4,13,4,0
80,0,0,4.263752,3,12,1,0
38,0,2,5.343273,1,20,1,0
54,0,0,,1,12,4,0
31,0,1,4.368463,1,17,1,0
71,0,0,4.111328,1,15,1,0
26,0,0,3.734218,4,12,1,0
44,0,0,3.975984,3,20,1,0
34,0,2,5.417758,1,19,1,0
48,0,0,4.558558,1,12,1,0
39,0,0,,4,12,4,0
73,0,0,,1,16,4,0
49,0,0,,1,0,4,0
41,0,0,4.197145,1,17,1,0
21,0,0,2.921956,4,12,1,0
65,0,0,4.596542,1,14,1,0
78,0,0,,1,17,4,0
64,0,0,,1,11,4,0
79,0,0,,5,16,4,0
35,0,0,3.153259,4,12,1,0
34,0,0,,4,12,4,0
63,0,0,,1,13,4,0
21,0,0,,4,12,4,0
61,0,0,,4,14,4,0
49,0,0,3.954869,2,15,1,0
37,0,1,3.604594,1,12,1,0
39,0,1,3.314186,1,12,1,0
65,0,0,2.883635,1,8,1,0
38,0,0,,2,11,4,0
39,0,2,4.809082,1,12,1,0
35,0,1,4.562856,1,18,1,0
30,0,1,3.725041,1,12,1,0
26,0,0,3.376948,4,15,1,0
27,0,0,3.418749,4,15,1,0
28,0,0,4.462851,1,17,1,0
56,0,0,5.213498,1,20,1,0
56,0,0,4.743097,1,15,1,0
21,0,0,,4,14,4,0
17,0,0,,4,12,4,0
75,0,0,,3,14,4,0
61,0,0,,1,14,4,0
30,0,0,3.019316,4,19,1,0
31,0,1,4.255613,1,17,1,0
72,0,0,,1,20,4,0
37,0,2,4.833956,1,21,1,0
26,0,0,3.009494,4,17,1,0
21,0,0,,4,14,4,0
26,0,0,3.380979,4,17,1,0
21,0,0,,4,16,4,0
21,0,0,2.672959,4,15,1,0
79,0,0,,1,12,4,0
74,0,0,,1,15,4,0
33,0,0,3.503088,4,16,1,0
72,0,0,,3,14,4,0
21,0,0,,4,12,4,0
21,0,0,3.128205,4,12,1,0
54,0,0,4.622434,1,16,1,0
53,0,0,,1,11,4,0
29,0,0,,4,12,4,0
21,0,0,,4,12,4,0
69,0,0,,1,8,4,0
56,0,0,,3,10,4,0
53,0,0,4.005126,1,9,1,0
79,0,0,,1,10,4,0
45,0,0,3.497417,1,12,1,0
71,0,0,,1,11,4,0
44,0,0,4.05656,1,12,1,0
17,0,0,,4,11,4,0
21,0,0,,4,12,4,0
52,0,0,4.515695,1,12,1,0
